pair_name,pair_folder,source_agent_id,target_agent_id,gamma_name,bias,sin_coefficient,cos_coefficient,phase_rad,strength,sigma_strength,r2,rmse,delta_omega,n_points,fit_s1_rmse,fit_s2_rmse
7-10,C:\Users\nishikaw\Codes\Volvocine_PicoV2\EstimateL\Round\7-10,10,7,Gamma_1,0.100506302987465,-0.0176085310956909,-0.0153545239045064,-2.42446801400963,0.023362828845882,0.163539801921174,0.970902440461901,0.00285950697897094,0,8001,0.0183569716694057,0.0212088126700752
7-10,C:\Users\nishikaw\Codes\Volvocine_PicoV2\EstimateL\Round\7-10,7,10,Gamma_2_minus_psi,0.10141496486647,0.0181705220021428,-0.0135197597656262,-0.639681613754495,0.0226484386647424,0.158539070653197,0.917340779408676,0.00480594045721327,0,8001,0.0183569716694057,0.0212088126700752
7-8,C:\Users\nishikaw\Codes\Volvocine_PicoV2\EstimateL\Round\7-8,8,7,Gamma_1,0.10974038297898,0.0149505688288345,0.0202294830525035,0.934341109098476,0.0251545521303251,0.176081864912276,0.972702276423037,0.00298058077875569,0,8001,0.0153246351562718,0.0172865304922714
7-8,C:\Users\nishikaw\Codes\Volvocine_PicoV2\EstimateL\Round\7-8,7,8,Gamma_2_minus_psi,0.0977070467585456,-0.0293082203985912,0.0160550009527842,2.64044117815443,0.0334175827750347,0.233923079425243,0.964834425491926,0.00450877570263307,0,8001,0.0153246351562718,0.0172865304922714
7-9,C:\Users\nishikaw\Codes\Volvocine_PicoV2\EstimateL\Round\7-9,9,7,Gamma_1,0.107076076305676,-0.0268815734330849,-0.0329783858796953,-2.25469324219946,0.0425463620709036,0.297824534496325,0.982489787591816,0.00401712592378299,0,8001,0.0187643808384932,0.0197374480900314
7-9,C:\Users\nishikaw\Codes\Volvocine_PicoV2\EstimateL\Round\7-9,7,9,Gamma_2_minus_psi,0.113596337889851,0.0336209125678814,-0.0324345536550828,-0.767440052634227,0.0467158006749491,0.327010604724644,0.979224326484351,0.00481137114668237,0,8001,0.0187643808384932,0.0197374480900314
8-10,C:\Users\nishikaw\Codes\Volvocine_PicoV2\EstimateL\Round\8-10,10,8,Gamma_1,0.105847922131766,-0.0167700800927501,-0.00697221509132247,-2.74758009274285,0.0181617006251319,0.127131904375923,0.852768388131877,0.00533237099574306,0,8001,0.0192750553036584,0.0187917431356915
8-10,C:\Users\nishikaw\Codes\Volvocine_PicoV2\EstimateL\Round\8-10,8,10,Gamma_2_minus_psi,0.116934200029363,0.0118325640356304,-0.00538756977994984,-0.427266894216227,0.0130013645357371,0.0910095517501598,0.794763064481128,0.00466871969946017,0,8001,0.0192750553036584,0.0187917431356915
8-9,C:\Users\nishikaw\Codes\Volvocine_PicoV2\EstimateL\Round\8-9,9,8,Gamma_1,0.104333296424371,-0.0172628660490836,-0.0174926249172438,-2.34958386508207,0.02457638034219,0.17203466239533,0.978096565770317,0.00260059674622455,0,8001,0.0172971661706021,0.0166103002574897
8-9,C:\Users\nishikaw\Codes\Volvocine_PicoV2\EstimateL\Round\8-9,8,9,Gamma_2_minus_psi,0.114217392640922,0.0172875699852152,-0.017187667139054,-0.78250035688887,0.0243777763070513,0.170644434149359,0.981312472706825,0.00237874549174959,0,8001,0.0172971661706021,0.0166103002574897
9-10,C:\Users\nishikaw\Codes\Volvocine_PicoV2\EstimateL\Round\9-10,10,9,Gamma_1,0.119054215142666,0.0173313109601732,0.0178122062936268,0.799081065943583,0.0248525457980654,0.173967820586458,0.941156490154781,0.00439425463399233,0,8001,0.017305834486686,0.0206294325787898
9-10,C:\Users\nishikaw\Codes\Volvocine_PicoV2\EstimateL\Round\9-10,9,10,Gamma_2_minus_psi,0.0932108227665671,-0.0254744242404935,0.0174875442494858,2.54000195876988,0.0308991989259005,0.216294392481303,0.921026734845402,0.00639557757234213,0,8001,0.017305834486686,0.0206294325787898
